Port,TCP,UDP,SCTP,DCCP,Description
10202 ,Unofficial , , , ,FRISK Software International's f-protd virus scanning daemon for Unix platforms
10203 ,Unofficial , , , ,FRISK Software International's f-protd virus scanning daemon for Unix platforms
10204 ,Unofficial , , , ,FRISK Software International's f-protd virus scanning daemon for Unix platforms
10212 ,Yes , , , ,GE Intelligent Platforms Proficy HMI/SCADA – CIMPLICITY WebView
10308 ,Unofficial , , , ,Lock On: Modern Air Combat
10480 ,Unofficial , , , ,SWAT 4 Dedicated Server
10505 , ,Unofficial , , ,BlueStacks (android simulator) broadcast
10514 ,Unofficial ,Unofficial , , ,TLS-enabled Rsyslog (default by convention)
10578 ,Unofficial ,No , , ,Skyrim Together multiplayer server for The Elder Scrolls V: Skyrim mod
10800 ,Unofficial , , , ,Touhou fight games (Immaterial and Missing Power - Scarlet Weather Rhapsody - Hisoutensoku - Hopeless Masquerade and Urban Legend in Limbo)
10823 , ,Unofficial , , ,Farming Simulator 2011
10891 ,Unofficial , , , ,Jungle Disk (this port is opened by the Jungle Disk Monitor service on the localhost)
10933 ,Yes ,No , , ,Octopus Deploy Tentacle deployment agent
11001 ,Yes ,Yes , , ,metasys ( Johnson Controls Metasys java AC control environment )
11100 ,No ,Unofficial , , ,Risk of Rain multiplayer server
11111 ,Unofficial , , , ,RiCcI - Remote Configuration Interface (Redhat Linux)
11112 ,Yes ,Yes , , ,ACR/NEMA Digital Imaging and Communications in Medicine (DICOM)
11211 ,Unofficial ,Unofficial , , ,memcached
11214 ,Unofficial ,Unofficial , , ,memcached incoming SSL proxy
11215 ,Unofficial ,Unofficial , , ,memcached internal outgoing SSL proxy
11235 ,Yes ,Yes ,Yes , ,XCOMPUTE numerical systems messaging (Xplicit Computing)
11311 ,Unofficial ,Unofficial , , ,Robot Operating System master
11371 ,Yes ,Yes , , ,OpenPGP HTTP key server
11753 ,Unofficial , , , ,OpenRCT2 multiplayer
12000 ,Unofficial ,Unofficial , , ,CubeForm - Multiplayer SandBox Game
12012 , ,Unofficial , , ,Audition Online Dance Battle - Korea Server—Status/Version Check
12013 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - Korea Server
12035 , ,Unofficial , , ,Second Life - used for server UDP in-bound
12043 ,Unofficial , , , ,Second Life - used for LSL HTTPS in-bound
12046 ,Unofficial , , , ,Second Life - used for LSL HTTP in-bound
12201 ,Unofficial ,Unofficial , , ,Graylog Extended Log Format (GELF)
12222 , ,Yes , , ,Light Weight Access Point Protocol (LWAPP) LWAPP data (RFC 5412)
12223 , ,Yes , , ,Light Weight Access Point Protocol (LWAPP) LWAPP control (RFC 5412)
12307 , ,Unofficial , , ,Makerbot UDP Broadcast (client to printer) (JSON-RPC)
12308 , ,Unofficial , , ,Makerbot UDP Broadcast (printer to client) (JSON-RPC)
12345 ,Unofficial ,Unofficial , , ,Cube World OR Little Fighter 2 OR NetBus remote administration tool (often Trojan horse).
12443 ,Unofficial , , , ,IBM HMC web browser management access over HTTPS instead of default port 443
12489 ,Unofficial , , , ,NSClient/NSClient++/NC_Net (Nagios)
12975 ,Unofficial , , , ,LogMeIn Hamachi (VPN tunnel software; also port 32976)—used to connect to Mediation Server (bibi.hamachi.cc); will attempt to use SSL (TCP port 443) if both 12975 & 32976 fail to connect
13000 –- 13050 , ,Unofficial , , ,Second Life - used for server UDP in-bound
13008 ,Unofficial ,Unofficial , , ,CrossFire - a multiplayer online First Person Shooter
13075 ,Yes , , , ,Default for BMC Software Control-M/Enterprise Manager Corba communication - though often changed during installation
13400 ,Yes ,Yes , , ,ISO 13400 Road vehicles — Diagnostic communication over Internet Protocol(DoIP)
13720 ,Yes ,Yes , , ,Symantec NetBackup—bprd (formerly VERITAS)
13721 ,Yes ,Yes , , ,Symantec NetBackup—bpdbm (formerly VERITAS)
13724 ,Yes ,Yes , , ,Symantec Network Utility—vnetd (formerly VERITAS)
13782 ,Yes ,Yes , , ,Symantec NetBackup—bpcd (formerly VERITAS)
13783 ,Yes ,Yes , , ,Symantec VOPIED protocol (formerly VERITAS)
13785 ,Yes ,Yes , , ,Symantec NetBackup Database—nbdb (formerly VERITAS)
13786 ,Yes ,Yes , , ,Symantec nomdb (formerly VERITAS)
14550 , ,Unofficial , , ,MAVLink Ground Station Port
14567 , ,Unofficial , , ,Battlefield 1942 and mods
14652 ,Unofficial , , , ,Repgen DoxBox reporting tool
14800 ,Unofficial , , , ,Age of Wonders III p2p port
15000 ,Unofficial , , , ,psyBNC OR Wesnoth OR Kaspersky Network Agent OR Teltonika networks remote management system (RMS)
15009 ,Unofficial ,Unofficial , , ,Teltonika networks remote management system (RMS)
15010 ,Unofficial ,Unofficial , , ,Teltonika networks remote management system (RMS)
15441 ,Unofficial , , , ,ZeroNet fileserver
15567 , ,Unofficial , , ,Battlefield Vietnam and mods
15345 ,Yes ,Yes , , ,XPilot Contact
15672 ,Unofficial ,No , , ,RabbitMQ management plugin
16000 ,Unofficial , , , ,Oracle WebCenter Content: Imaging (formerly known as Oracle Universal Content Management). Port though often changed during installation OR shroudBNC
16080 ,Unofficial , , , ,macOS Server Web (HTTP) service with performance cache
16200 ,Unofficial , , , ,Oracle WebCenter Content: Content Server (formerly known as Oracle Universal Content Management). Port though often changed during installation
16225 ,Unofficial , , , ,Oracle WebCenter Content: Content Server Web UI. Port though often changed during installation
16250 ,Unofficial , , , ,Oracle WebCenter Content: Inbound Refinery (formerly known as Oracle Universal Content Management). Port though often changed during installation
16261 ,Unofficial ,Unofficial , , ,Project Zomboid multiplayer. Additional sequential ports used for each player connecting to server.
16300 ,Unofficial , , , ,Oracle WebCenter Content: Records Management (formerly known as Oracle Universal Records Management). Port though often changed during installation
16384 , ,Unofficial , , ,CISCO Default RTP MIN
16384 -– 16403 , ,Unofficial , , ,Real-time Transport Protocol (RTP) - RTP Control Protocol (RTCP) - used by Apple's iChat for audio and video
16384 –- 16387 , ,Unofficial , , ,Real-time Transport Protocol (RTP) - RTP Control Protocol (RTCP) - used by Apple's FaceTime and Game Center
16393 –- 16402 , ,Unofficial , , ,Real-time Transport Protocol (RTP) - RTP Control Protocol (RTCP) - used by Apple's FaceTime and Game Center
16403 –- 16472 , ,Unofficial , , ,Real-time Transport Protocol (RTP) - RTP Control Protocol (RTCP) - used by Apple's Game Center
16400 ,Unofficial , , , ,Oracle WebCenter Content: Capture (formerly known as Oracle Document Capture). Port though often changed during installation
16567 , ,Unofficial , , ,Battlefield 2 and mods
16666 ,Unofficial ,Unofficial , , ,SITC Port for mobile web traffic
16677 ,Unofficial ,Unofficial , , ,SITC Port for mobile web traffic
17011 ,Unofficial , , , ,Worms multiplayer
17224 ,Yes ,Yes , , ,Train Realtime Data Protocol (TRDP) Process Data - network protocol used in train communication.
17225 ,Yes ,Yes , , ,Train Realtime Data Protocol (TRDP) Message Data - network protocol used in train communication.
17333 ,Unofficial , , , ,CS Server (CSMS) - default binary protocol port
17472 ,Yes , , , ,Tanium Communication Port
17475 ,Unofficial , , , ,DMXControl 3 Network Broker
17500 ,Yes ,Yes , , ,Dropbox LanSync Protocol (db-lsp); used to synchronize file catalogs between Dropbox clients on a local network.
17777 ,Unofficial ,Unofficial , , ,SITC Port for mobile web traffic
18080 ,Unofficial ,No , , ,Monero P2P network communications
18081 ,Unofficial ,No , , ,Monero incoming RPC calls
18091 ,Unofficial ,Unofficial , , ,memcached Internal REST HTTPS for SSL
18092 ,Unofficial ,Unofficial , , ,memcached Internal CAPI HTTPS for SSL
18104 ,Yes , , , ,RAD PDF Service
18200 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - AsiaSoft Thailand Server status/version check
18201 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - AsiaSoft Thailand Server
18206 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - AsiaSoft Thailand Server FAM database
18300 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - AsiaSoft SEA Server status/version check
18301 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - AsiaSoft SEA Server
18306 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - AsiaSoft SEA Server FAM database
18333 ,Unofficial , , , ,Bitcoin testnet
18400 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - KAIZEN Brazil Server status/version check
18401 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - KAIZEN Brazil Server
18505 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle R4p3 Server - Nexon Server status/version check
18506 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - Nexon Server
18605 ,Unofficial ,Unofficial , , ,X-BEAT status/version check
18606 ,Unofficial ,Unofficial , , ,X-BEAT
18676 ,Unofficial ,Unofficial , , ,YouView
19000 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - G10/alaplaya Server status/version check OR JACK sound server
19001 ,Unofficial ,Unofficial , , ,Audition Online Dance Battle - G10/alaplaya Server
19132 , ,Unofficial , , ,Minecraft: Bedrock Edition multiplayer server
19133 , ,Unofficial , , ,Minecraft: Bedrock Edition IPv6 multiplayer server
19150 ,Unofficial ,Unofficial , , ,Gkrellm Server
19226 ,Unofficial , , , ,Panda Software AdminSecure Communication Agent
19294 ,Unofficial , , , ,Google Talk Voice and Video connections
19295 , ,Unofficial , , ,Google Talk Voice and Video connections
19302 , ,Unofficial , , ,Google Talk Voice and Video connections
19531 ,Unofficial ,No , , ,systemd-journal-gatewayd
19532 ,Unofficial ,No , , ,systemd-journal-remote
19788 ,No ,Yes , , ,Mesh Link Establishment protocol for IEEE 802.15.4 radio mesh networks
19812 ,Yes ,No , , ,4D database SQL Communication
19813 ,Yes ,Yes , , ,4D database Client Server Communication
19814 ,Yes , , , ,4D database DB4D Communication
19999 ,Yes , , , ,Distributed Network Protocol—Secure (DNP—Secure) - a secure version of the protocol used in SCADA systems between communicating RTU's and IED's
20000 ,Yes , , , ,Distributed Network Protocol (DNP) - a protocol used in SCADA systems between communicating RTU's and IED's OR Usermin - Web-based Unix/Linux user administration tool (default port) OR Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
20560 ,Unofficial ,Unofficial , , ,Killing Floor
20582 , ,Unofficial , , ,HW Development IoT comms
20583 , ,Unofficial , , ,HW Development IoT comms
20595 , ,Unofficial , , ,0 A.D. Empires Ascendant
20808 , ,Unofficial , , ,Ableton Link
21025 ,Unofficial , , , ,Starbound Server (default) - Starbound
21064 ,Unofficial , , , ,Default Ingres DBMS server
22000 ,Unofficial , , , ,Syncthing (default)
22136 ,Unofficial , , , ,FLIR Systems Camera Resource Protocol
22222 ,Unofficial , , , ,Davis Instruments - WeatherLink IP
23073 ,Unofficial , , , ,Soldat Dedicated Server
23399 ,Unofficial , , , ,Skype default protocol
23513 ,Unofficial , , , ,Duke Nukem 3D source ports
24441 ,Unofficial ,Unofficial , , ,Pyzor spam detection network
24444 ,Unofficial , , , ,NetBeans integrated development environment
24465 ,Yes ,Yes , , ,Tonido Directory Server for Tonido which is a Personal Web App and P2P platform
24554 ,Yes ,Yes , , ,BINKP - Fidonet mail transfers over TCP/IP
24800 ,Unofficial , , , ,Synergy: keyboard/mouse sharing software
24842 ,Unofficial , , , ,StepMania: Online: Dance Dance Revolution Simulator
25565 ,Unofficial , , , ,Minecraft (Java Edition) multiplayer server OR Minecraft (Java Edition) multiplayer server query
25575 , ,Unofficial , , ,Minecraft (Java Edition) multiplayer server RCON
25600 -- 25700 ,Unofficial ,Unofficial , , ,SamsidParty Operational Ports
25826 , ,Unofficial , , ,collectd default port
26000 ,Yes ,Yes , , ,id Software's Quake server OR EVE Online OR Xonotic - an open-source arena shooter
26822 , ,Unofficial , , ,MSI MysticLight
26900 ,Unofficial , , , ,EVE Online
26901 ,Unofficial , , , ,EVE Online
26909 ,Unofficial , , , ,Action Tanks Online
26910 ,Unofficial , , , ,Action Tanks Online
26911 ,Unofficial , , , ,Action Tanks Online
27000 ,Unofficial , , , ,PowerBuilder SySAM license server
27000 , ,Unofficial , , ,id Software's QuakeWorld master server
27001 , ,Unofficial , , ,id Software's QuakeWorld master server
27002 , ,Unofficial , , ,id Software's QuakeWorld master server
27003 , ,Unofficial , , ,id Software's QuakeWorld master server
27004 , ,Unofficial , , ,id Software's QuakeWorld master server
27005 , ,Unofficial , , ,id Software's QuakeWorld master server
27006 , ,Unofficial , , ,id Software's QuakeWorld master server
27000 –- 27009 ,Yes ,Yes , , ,FlexNet Publisher's License server (from the range of default ports)
27000 ,No ,Unofficial , , ,Steam (game client traffic)
27001 ,No ,Unofficial , , ,Steam (game client traffic)
27002 ,No ,Unofficial , , ,Steam (game client traffic)
27003 ,No ,Unofficial , , ,Steam (game client traffic)
27004 ,No ,Unofficial , , ,Steam (game client traffic)
27005 ,No ,Unofficial , , ,Steam (game client traffic)
27006 ,No ,Unofficial , , ,Steam (game client traffic)
27007 ,No ,Unofficial , , ,Steam (game client traffic)
27008 ,No ,Unofficial , , ,Steam (game client traffic)
27009 ,No ,Unofficial , , ,Steam (game client traffic)
27010 ,No ,Unofficial , , ,Steam (game client traffic)
27011 ,No ,Unofficial , , ,Steam (game client traffic)
27012 ,No ,Unofficial , , ,Steam (game client traffic)
27013 ,No ,Unofficial , , ,Steam (game client traffic)
27014 ,No ,Unofficial , , ,Steam (game client traffic)
27015 ,No ,Unofficial , , ,Steam (game client traffic)
27015 ,No ,Unofficial , , ,GoldSrc and Source engine dedicated server port
27015 , ,Unofficial , , ,Unturned - a survival game
27016 , ,Unofficial , , ,Unturned - a survival game
27017 , ,Unofficial , , ,Unturned - a survival game
27018 , ,Unofficial , , ,Unturned - a survival game
27015 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27016 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27017 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27018 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27019 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27020 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27021 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27022 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27023 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27024 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27025 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27026 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27027 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27028 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27029 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27030 ,No ,Unofficial , , ,Steam (matchmaking and HLTV) OR Steam (downloads)
27016 ,Unofficial , , , ,Magicka and Space Engineers server port
27017 ,Unofficial ,No , , ,MongoDB daemon process (mongod) and routing service (mongos)
27031 ,No ,Unofficial , , ,Steam (In-Home Streaming)
27032 ,No ,Unofficial , , ,Steam (In-Home Streaming)
27033 ,No ,Unofficial , , ,Steam (In-Home Streaming)
27034 ,No ,Unofficial , , ,Steam (In-Home Streaming)
27035 ,No ,Unofficial , , ,Steam (In-Home Streaming)
27036 ,Unofficial ,Unofficial , , ,Steam (In-Home Streaming)
27374 ,Unofficial , , , ,Sub7 default.
27500 -– 27900 , ,Unofficial , , ,id Software's QuakeWorld
27888 , ,Unofficial , , ,Kaillera server
27901 , ,Unofficial , , ,id Software's Quake II master server
27902 , ,Unofficial , , ,id Software's Quake II master server
27903 , ,Unofficial , , ,id Software's Quake II master server
27904 , ,Unofficial , , ,id Software's Quake II master server
27905 , ,Unofficial , , ,id Software's Quake II master server
27906 , ,Unofficial , , ,id Software's Quake II master server
27907 , ,Unofficial , , ,id Software's Quake II master server
27908 , ,Unofficial , , ,id Software's Quake II master server
27909 , ,Unofficial , , ,id Software's Quake II master server
27910 , ,Unofficial , , ,id Software's Quake II master server
27950 , ,Unofficial , , ,OpenArena outgoing
27960 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
27961 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
27962 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
27963 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
27964 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
27965 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
27966 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
27967 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
27968 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
27969 , ,Unofficial , , ,Activision's Enemy Territory and id Software's Quake III Arena - Quake III and Quake Live and some ioquake3 derived games - such as Urban Terror (OpenArena incoming)
28000 ,Yes ,Yes , , ,Siemens Digital Industries Software license server
28001 ,Unofficial , , , ,Starsiege: Tribes
28015 , ,Unofficial , , ,Rust (video game)
28016 , ,Unofficial , , ,Rust RCON (video game)
28260 ,Unofficial , , , ,Palo Alto Networks' Panorama HA-1 backup unencrypted sync port.
28443 ,Unofficial , , , ,Palo Alto Networks' Panorama-to-managed devices software updates - PAN-OS 8.0 and later.
28769 ,Unofficial , , , ,Palo Alto Networks' Panorama HA unencrypted sync port.
28770 ,Unofficial , , , ,Palo Alto Networks' Panorama HA-1 backup sync port.
28770 , ,Unofficial , , ,AssaultCube Reloaded - a video game based upon a modification of AssaultCube
28771 , ,Unofficial , , ,AssaultCube Reloaded - a video game based upon a modification of AssaultCube
28785 , ,Unofficial , , ,Cube 2: Sauerbraten
28786 , ,Unofficial , , ,Cube 2: Sauerbraten
28852 ,Unofficial ,Unofficial , , ,Killing Floor
28910 ,Unofficial ,Unofficial , , ,Nintendo Wi-Fi Connection
28960 ,Unofficial ,Unofficial , , ,Call of Duty; Call of Duty: United Offensive; Call of Duty 2; Call of Duty 4: Modern Warfare Call of Duty: World at War (PC platform)
29000 ,Unofficial , , , ,Perfect World - an adventure and fantasy MMORPG
29070 ,Unofficial ,Unofficial , , ,Jedi Knight: Jedi Academy by Ravensoft
29900 ,Unofficial ,Unofficial , , ,Nintendo Wi-Fi Connection
29901 ,Unofficial ,Unofficial , , ,Nintendo Wi-Fi Connection
29920 ,Unofficial ,Unofficial , , ,Nintendo Wi-Fi Connection
30000 , ,Unofficial , , ,XLink Kai P2P OR Minetest server default port OR Foundry Virtual Tabletop server default port
30033 ,Unofficial ,No , , ,TeamSpeak 3 File Transfer
30120 ,Unofficial , , , ,Fivem (Default Port) GTA V multiplayer
30564 ,Unofficial , , , ,Multiplicity: keyboard/mouse/clipboard sharing software
31337 ,Unofficial , , , ,Back Orifice and Back Orifice 2000 remote administration tools OR ncat - a netcat alternative
31416 ,Unofficial , , , ,BOINC RPC
31438 ,Unofficial , , , ,Rocket U2
31457 ,Yes , , , ,TetriNET
32137 ,Unofficial ,Unofficial , , ,Immunet Protect (UDP in version 2.0 - TCP since version 3.0)
32400 ,Yes , , , ,Plex Media Server
32764 ,Unofficial , , , ,A backdoor found on certain Linksys - Netgear and other wireless DSL modems/combination routers
32887 ,Unofficial , , , ,Ace of Spades - a multiplayer FPS video game
32976 ,Unofficial , , , ,LogMeIn Hamachi - a VPN application; also TCP port 12975 and SSL (TCP 443).
33434 ,Yes ,Yes , , ,traceroute
33848 , ,Unofficial , , ,Jenkins - a continuous integration (CI) tool
34000 , ,Unofficial , , ,Infestation: Survivor Stories (formerly known as The War Z) - a multiplayer zombie video game
34197 ,No ,Unofficial , , ,Factorio - a multiplayer survival and factory-building game
35357 ,Yes , , , ,OpenStack Identity (Keystone) administration
36330 ,Unofficial , , , ,Folding@home Control Port
37008 , ,Unofficial , , ,TZSP intrusion detection
40000 ,Yes ,Yes , , ,SafetyNET p – a real-time Industrial Ethernet protocol
41121 ,Yes ,Yes , , ,Tentacle Server - Pandora FMS
41794 ,Yes ,Yes , , ,Crestron Control Port - Crestron Electronics
41795 ,Yes ,Yes , , ,Crestron Terminal Port - Crestron Electronics
41796 ,Yes ,No , , ,Crestron Secure Control Port - Crestron Electronics
41797 ,Yes ,No , , ,Crestron Secure Terminal Port - Crestron Electronics
42806 , , , , ,Discord
43110 ,Unofficial , , , ,ZeroNet web UI default port
43594 ,Unofficial , , , ,RuneScape
43595 ,Unofficial , , , ,RuneScape
44405 ,Unofficial , , , ,Mu Online Connect Server
44818 ,Yes ,Yes , , ,EtherNet/IP explicit messaging
47808 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47809 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47810 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47811 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47812 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47813 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47814 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47815 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47816 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47817 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47818 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47819 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47820 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47821 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47822 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
47823 ,Yes ,Yes , , ,BACnet Building Automation and Control Networks (4780810 = BAC016 to 4782310 = BACF16)
49151 ,Reserved ,Reserved , , ,Reserved
